Radius_nm,Phase_rad,Transmission
5.000000000000000000e+01,2.184802442376525988e+00,9.925816386183684559e-01
5.684210526315789735e+01,2.422716884313375285e+00,9.941862646873648179e-01
6.368421052631578760e+01,2.826591377764918089e+00,9.948972401348135097e-01
7.052631578947368496e+01,3.386065393732419881e+00,9.732921326236484427e-01
7.736842105263158942e+01,4.247510732459035765e+00,9.886031896791650508e-01
8.421052631578947967e+01,5.355992583932606799e+00,1.022963612828706070e+00
9.105263157894736992e+01,6.329990778796923401e+00,9.783520641658103312e-01
9.789473684210526017e+01,6.817991891051567777e+00,9.334027395276708328e-01
1.047368421052631504e+02,7.390236306928152032e+00,9.971862884402646898e-01
1.115789473684210407e+02,7.897247533183895385e+00,1.020223637568495212e+00
1.184210526315789451e+02,8.112552410007623394e+00,9.609107085551857885e-01
1.252631578947368496e+02,9.067202293483799025e+00,6.991794452208048849e-01
1.321052631578947398e+02,8.396307496712992702e+00,5.903012984322091317e-01
1.389473684210526301e+02,9.245306628874633503e+00,7.006203266811514840e-01
1.457894736842105488e+02,1.037968980106652239e+01,3.978767545342383749e-01
1.526315789473684106e+02,1.340286561951739941e+01,6.046685577779199045e-03
1.594736842105263008e+02,1.564122676193273165e+01,8.575603053867937309e-01
1.663157894736842195e+02,1.622556172838839927e+01,9.667004343295533264e-01
1.731578947368420813e+02,1.665617036734044376e+01,1.017800225390625313e+00
1.800000000000000000e+02,1.693007392615846385e+01,1.030084673526778793e+00
