Radius_nm,Phase_rad,Transmission
5.000000000000000000e+01,2.049356151889789590e+00,9.869454660754612974e-01
5.684210526315789735e+01,2.208201025613254931e+00,9.895678924406738908e-01
6.368421052631578760e+01,2.373687366288290690e+00,9.969012452090014742e-01
7.052631578947368496e+01,2.613754655199570287e+00,9.938722858524055015e-01
7.736842105263158942e+01,2.938405342326976921e+00,9.790718568802811994e-01
8.421052631578947967e+01,3.298200744956696351e+00,9.647007366867210720e-01
9.105263157894736992e+01,3.769776413780416835e+00,9.582199809352834885e-01
9.789473684210526017e+01,4.254063897770982372e+00,9.795419154797478933e-01
1.047368421052631504e+02,4.815242046915264140e+00,1.020428669051207660e+00
1.115789473684210407e+02,5.377339238726125181e+00,1.020920113870891655e+00
1.184210526315789451e+02,5.921696898579653201e+00,1.004059730881843970e+00
1.252631578947368496e+02,5.898519055603418160e+00,7.753291603718637237e-01
1.321052631578947398e+02,6.419524062292092381e+00,8.859497327268736067e-01
1.389473684210526301e+02,6.865422422811775505e+00,9.678696512385207562e-01
1.457894736842105488e+02,6.898191466950406081e+00,8.243464208136803695e-01
1.526315789473684106e+02,7.339186724423289121e+00,8.188225203057716284e-01
1.594736842105263008e+02,7.045269668157827958e+00,9.665640873968975866e-01
1.663157894736842195e+02,7.447113152791477120e+00,1.004227795035924187e+00
1.731578947368420813e+02,7.709569553933576458e+00,1.010754285156837851e+00
1.800000000000000000e+02,8.047472481218743923e+00,1.044524152027734187e+00
